company_name,stage,funding_amount,description,headquarter,investor,funded_year,sector
Yodacart,Pre-series A,225000.0,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,"Thane, ",Ajith Daneil,2021,Retail
TheHouseMonk,Pre-series A,5000000.0,A complete property management software platform for team&customers.,"Bangalore, ",Aurum Proptech,2021,Real Estate
Zepto,Pre-series A,100000000.0,"Ability to consistently deliver 2,500+ products in 10 minutes flat.","Bangalore, ",Y-Combinator,2021,Retail
Sirona Hygiene,Pre-series A,10000000.0,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women","New Delhi, ",The Good Glamm Group,2021,Healthcare & Life Sciences
Jumbotail,Pre-series A,85000000.0,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores","Bangalore, ",Invus,2021,Retail
Captain Fresh,Pre-series A,40000000.0,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,"Bangalore, ","Tiger Global, Prosus Ventures",2021,Transportation & Logistics
Deciwood,Pre-series A,200000.0,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.","New Delhi, ","Shuru Up, Ankit Kedia, Arun Gupta",2021,Consumer Goods
Kohbee,Pre-series A,235000.0,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Bangalore, ","Ankit Mehrotra, Saurabh Aggarwal",2021,E-learning
Perfora,Pre-series A,260000.0,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.","Gurugram, ",Sauce.vc,2021,Consumer Goods
Unbox Robotics,Pre-series A,7000000.0,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"Pune, ","3one4 Capital, Sixth Sense Ventures",2021,Transportation & Logistics
Ninety One,Pre-series A,30000000.0,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.","Ahmedabad, ",A91 Partners,2021,Consumer Goods
Gobillion,Pre-series A,2900000.0,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"New Delhi, ","YCombinator, Justin Mateen, Pioneer Fund",2021,Retail
RIPPLR,Pre-series A,12000000.0,India’s first Plug-n-Play distribution ecosystem for brands,"Bangalore, ","Sojitz Corporation, Stride Ventures",2021,Transportation & Logistics
SK Finance,Pre-series A,53000000.0,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,"Jaipur, ","IIFL Wealth, TPG Growth, Norwest Venture Partners",2021,Finance
Eggoz,Pre-series A,3500000.0,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Gurugram, ","Nabventures, Avaana Capital",2021,Consumer Goods
Fabriclore,Pre-series A,700000.0,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Jaipur, ","Fluid Ventures, Mulberry Silks",2021,Consumer Goods
Veefin,Pre-series A,3000000.0,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.","Mumbai, ",Rajesh Rajendran,2021,IT & Technology
Verandah,Pre-series A,1000000.0,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,"Mumbai, ","Mike Novogratz, Neeraj Arora",2021,Consumer Goods
Karkinos Healthcare,Pre-series A,3500000.0,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.","Mumbai, ",Reliance Digital Health,2021,Healthcare & Life Sciences
OWO Technologies,Pre-series A,3000000.0,An ecommerce startup offering online beverages and packaged drinking water,"Gurugram, ",Undisclosed,2021,Consumer Goods
EsportsXO,Pre-series A,1100000.0,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,"Bangalore, ",We Founder Circle,2021,Media & Entertainment
Zorgers,Pre-series A,3500000.0,Zorgers Home Healthcare is India’s most trusted Home Healthcare Service Provider. Recognized by the Govt of India.,"Mohali, ",Ritu Marya Family Office.,2021,Healthcare & Life Sciences
BangDB,Pre-series A,3500000.0,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,"Bangalore, ",Ten Innovate,2021,IT & Technology
Neobank Jupiter,Pre-series A,86000000.0,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,"Mumbai, ","Tiger Global, Sequoia Capital",2021,Finance
Skippi Ice Pops,Pre-series A,130000.0,India's First Icepops Brand,"Hyderabad, ",Shark Tank India,2021,Food & Beverages
Glii,Pre-series A,10000.0,India’s finest dating companionship application,"Noida, ",We Founder Circle,2021,Media & Entertainment
GlobalBees,Pre-series A,111000000.0,Globalbees partners with entrepreneurs who have built an online-first business.,"New Delhi, ","Premji Invest, Steadview Capital",2021,Retail
Mamaearth,Pre-series A,37000000.0,Baby and mother care brand,"Gurugram, ",Sequoia,2021,Healthcare & Life Sciences
SecureNow,Pre-series A,6000000.0,SecureNow is an award winning tech-enabled insurance intermediary.,"Gurugram, ",Apis Insurtech Fund I,2021,Finance
Vendor Infra,Pre-series A,265000.0,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities","Gurugram, ","SK Tripathi, Sanjeev Gupta",2021,Manufacturing
Hakuna Matata,Pre-series A,1000000.0,Hakuna Matata Solutions is a leading Digital Transformation Company offering a full spectrum of technology solutions and services for enterprises across different industry verticals all over the globe.,"Chennai, ",Hardcastle Petrofer,2021,IT & Technology
OneCard,Pre-series A,76000000.0,"India's finest and smartest metal credit card, reimagined for the mobile generation.","Pune, ","Ocean View Investment, QED Fund",2021,Finance
Doubtnut,Pre-series A,30000000.0,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Gurugram, ","Omidyar Network, Tencent Holdings",2021,E-learning
Hubhopper,Pre-series A,3500000.0,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms","New Delhi, ","ITI Growth Opportunities Fund, Unit-E Ventures",2021,Media & Entertainment
Infra.Market,Pre-series A,100000000.0,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Thane, ","InnoVen Capital, Nexus Venture Partners",2021,Manufacturing
Comofi Medtech,Pre-series A,200000.0,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies","Bangalore, ",CIIE.CO,2021,Healthcare & Life Sciences
Battery Smart,Pre-series A,3500000.0,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,"New Delhi, ",Orios Venture Partners,2021,Energy
Kutuki,Pre-series A,2000000.0,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bangalore, ",Omidyar Network India,2021,E-learning
Onelife,Pre-series A,3500000.0,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.","Mumbai, ",Wipro venture capital arm,2021,Healthcare & Life Sciences
Eupheus,Pre-series A,4000000.0,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"New Delhi, ","Yuj Ventures, Sixth Sense Ventures",2021,E-learning
KreditBee,Pre-series A,75000000.0,KreditBee is an Instant Personal Loan Platform for Young Professionals.,"Bangalore, ","Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",2021,Finance
Pencil,Pre-series A,1000000.0,Pencil is a content publishing platform that enables writers to publish their work for free.,"Mumbai, ","Inflection Point Ventures, SucSEED Venture Partners",2021,Media & Entertainment
Aisle,Pre-series A,3500000.0,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,"Bangalore, ","Anas Rahman Junaid, Vinod Jose",2021,Media & Entertainment
Marquee Equity,Pre-series A,3800000.0,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,"Mumbai, ","Capital One, Arrowroot Capital",2021,Finance
UptimeAI,Pre-series A,1500000.0,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures","Bangalore, ",YourNest Venture Capital,2021,IT & Technology
WizKlub,Pre-series A,800000.0,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,"Bangalore, ",Incubate Fund India,2021,E-learning
Zolve,Pre-series A,15000000.0,Zolve Innovations operates as a neo-banking startup.,"Bangalore, ","Kunal Shah, Greg Kidd",2021,Finance
MediBuddy,Pre-series A,3000000.0,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Bangalore, ","InnoVen Capital, TEAMFund",2021,E-learning
Pariksha,Pre-series A,2000000.0,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Pune, ","Venture Catalysts, 9Unicorns Accelerator Fund",2021,E-learning
Express Stores,Pre-series A,1000000.0,Express Stores is a retail and omnichannel startup company,"Gurugram, ","Venture Highway, Rohit Bansal",2021,Retail
Avataar Ventures,Pre-series A,100000000.0,Avataar Venture Partners is a growth Capital Investment Firm.,"Bangalore, ",Undisclosed,2021,Finance
Zingbus,Pre-series A,3500000.0,Zingbus is an emerging brand in the intercity bus services.,"Haryana, ","Venture Catalysts, 9Unicorns Accelerator Fund",2021,Transportation & Logistics
Phable,Pre-series A,12000000.0,Mobile App for Patients and Doctors,"Bangalore, ","Fresco Capital, Social Starts",2021,Healthcare & Life Sciences
Codingal,Pre-series A,3500000.0,Coding education platform for K-12 students,"Bangalore, ","Y Combinator, Rebright Partners",2021,E-learning
Supply6,Pre-series A,100000.0,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Bangalore, ","Rohit Goutamchand, India CXO Fund",2021,Healthcare & Life Sciences
Swajal,Pre-series A,1600000.0,Swajal uses clean solar energy to purify drinking water at an affordable rate.,"Gurugram, ","Rajasthan Venture Capital Fund, ACPL Exports",2021,Others
